ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
"Carcinoma, Lung"	"Carcinoma, Lung"	65/196	213/1764	4.45E-17	2.54E-15	9.12E-16	hsa-mir-106a/hsa-mir-148b/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-616/hsa-mir-33b/hsa-mir-126/hsa-mir-33a/hsa-mir-192/hsa-mir-199a-2/hsa-mir-142/hsa-mir-154/hsa-mir-301b/hsa-mir-130b/hsa-mir-148a/hsa-mir-19a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-361/hsa-mir-32/hsa-mir-140/hsa-mir-107/hsa-mir-30c-1/hsa-mir-134/hsa-mir-545/hsa-mir-410/hsa-let-7e/hsa-mir-153-2/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-29b-2/hsa-mir-340/hsa-mir-7-1/hsa-mir-132/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-149/hsa-mir-93/hsa-mir-100/hsa-mir-95/hsa-mir-19b-1/hsa-mir-582/hsa-mir-328/hsa-mir-212/hsa-mir-1-2/hsa-mir-509-3/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-490/hsa-mir-29c/hsa-mir-1-1/hsa-mir-203b/hsa-mir-499a/hsa-mir-31/hsa-mir-217/hsa-mir-1226/hsa-mir-187/hsa-mir-486-1/hsa-mir-133a-2/hsa-mir-34b/hsa-mir-592	65
Osteosarcoma	Osteosarcoma	56/196	171/1764	3.96E-16	2.07E-14	7.43E-15	hsa-mir-106a/hsa-mir-301a/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-539/hsa-mir-33b/hsa-mir-126/hsa-mir-33a/hsa-mir-192/hsa-mir-199a-2/hsa-mir-142/hsa-mir-135b/hsa-mir-130b/hsa-mir-148a/hsa-mir-19a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-128-2/hsa-mir-32/hsa-mir-140/hsa-mir-107/hsa-mir-210/hsa-mir-134/hsa-mir-410/hsa-mir-153-2/hsa-mir-143/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-340/hsa-mir-3928/hsa-mir-7-1/hsa-mir-132/hsa-mir-374a/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-93/hsa-mir-196b/hsa-mir-100/hsa-mir-19b-1/hsa-mir-328/hsa-mir-212/hsa-mir-1-2/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-490/hsa-mir-29c/hsa-mir-1-1/hsa-mir-203b/hsa-mir-217/hsa-mir-486-1/hsa-mir-133a-2/hsa-mir-1247	56
Glioma	Glioma	62/196	207/1764	9.00E-16	4.35E-14	1.56E-14	hsa-mir-106a/hsa-mir-628/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-323b/hsa-mir-455/hsa-mir-126/hsa-mir-33a/hsa-mir-136/hsa-mir-199a-2/hsa-mir-142/hsa-mir-154/hsa-mir-135b/hsa-mir-130b/hsa-mir-148a/hsa-mir-19a/hsa-mir-23a/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-361/hsa-mir-128-2/hsa-mir-140/hsa-mir-576/hsa-mir-107/hsa-mir-323a/hsa-mir-30e/hsa-mir-210/hsa-mir-134/hsa-mir-675/hsa-mir-410/hsa-mir-153-2/hsa-mir-143/hsa-mir-222/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-340/hsa-mir-7-1/hsa-mir-132/hsa-mir-296/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-149/hsa-mir-93/hsa-mir-181d/hsa-mir-196b/hsa-mir-95/hsa-mir-19b-1/hsa-mir-328/hsa-mir-18a/hsa-mir-504/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-29c/hsa-mir-99b/hsa-mir-203b/hsa-mir-31/hsa-mir-1224/hsa-mir-105-2/hsa-mir-133a-2/hsa-mir-320d-1/hsa-mir-592	62
Lung Neoplasms	Lung Neoplasms	43/196	110/1764	1.56E-15	7.00E-14	2.51E-14	hsa-mir-106a/hsa-mir-16-2/hsa-mir-16-1/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-126/hsa-mir-33a/hsa-mir-192/hsa-mir-136/hsa-mir-199a-2/hsa-mir-142/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-128-2/hsa-mir-140/hsa-mir-107/hsa-mir-30e/hsa-mir-210/hsa-mir-134/hsa-let-7e/hsa-mir-143/hsa-mir-29b-2/hsa-mir-132/hsa-mir-29b-1/hsa-mir-93/hsa-mir-95/hsa-mir-212/hsa-mir-18a/hsa-mir-1-2/hsa-mir-155/hsa-mir-203a/hsa-mir-29c/hsa-mir-1-1/hsa-mir-203b/hsa-mir-499a/hsa-mir-31/hsa-mir-187/hsa-mir-486-1/hsa-mir-34b	43
"Carcinoma, Ovarian"	"Carcinoma, Ovarian"	58/196	194/1764	1.20E-14	5.01E-13	1.80E-13	hsa-mir-106a/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-551b/hsa-mir-199b/hsa-mir-136/hsa-mir-199a-2/hsa-mir-135b/hsa-mir-130b/hsa-mir-148a/hsa-mir-1271/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-3613/hsa-mir-23b/hsa-mir-128-2/hsa-mir-107/hsa-mir-210/hsa-mir-134/hsa-let-7e/hsa-mir-153-2/hsa-mir-143/hsa-mir-376a-1/hsa-mir-29b-2/hsa-mir-7-1/hsa-mir-132/hsa-mir-374a/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-149/hsa-mir-93/hsa-mir-196b/hsa-mir-100/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-509-1/hsa-mir-212/hsa-mir-1-2/hsa-mir-411/hsa-mir-509-3/hsa-mir-19b-2/hsa-mir-509-2/hsa-mir-155/hsa-mir-203a/hsa-mir-490/hsa-mir-1-1/hsa-mir-203b/hsa-mir-499a/hsa-mir-31/hsa-mir-551a/hsa-mir-187/hsa-mir-760/hsa-mir-483/hsa-mir-133a-2/hsa-mir-34b	58
high glucose (HG)	high glucose (HG)	52/196	163/1764	2.18E-14	8.54E-13	3.06E-13	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-455/hsa-mir-590/hsa-mir-33b/hsa-mir-126/hsa-mir-33a/hsa-mir-192/hsa-mir-199a-2/hsa-mir-142/hsa-mir-135b/hsa-mir-130b/hsa-mir-148a/hsa-mir-23a/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-361/hsa-mir-128-2/hsa-mir-32/hsa-mir-140/hsa-mir-30c-1/hsa-mir-188/hsa-mir-210/hsa-mir-134/hsa-mir-153-2/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-132/hsa-mir-151a/hsa-mir-296/hsa-mir-374a/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-93/hsa-mir-95/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-328/hsa-mir-452/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-29c/hsa-mir-31/hsa-mir-217/hsa-mir-20b/hsa-mir-486-1/hsa-mir-133a-2/hsa-mir-34b	52
Cell Death	Cell Death	34/196	78/1764	4.91E-14	1.81E-12	6.51E-13	hsa-mir-16-2/hsa-mir-16-1/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-130b/hsa-mir-19a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-23b/hsa-mir-128-2/hsa-mir-30c-1/hsa-mir-210/hsa-mir-134/hsa-let-7e/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-29b-2/hsa-mir-7-1/hsa-mir-29b-1/hsa-mir-19b-1/hsa-mir-212/hsa-mir-18a/hsa-mir-1-2/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-29c/hsa-mir-1-1/hsa-mir-203b/hsa-mir-1226/hsa-mir-380	34
"Carcinoma, Pancreatic"	"Carcinoma, Pancreatic"	50/196	161/1764	2.69E-13	9.38E-12	3.36E-12	hsa-mir-106a/hsa-mir-301a/hsa-mir-148b/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-323b/hsa-mir-126/hsa-mir-33a/hsa-mir-192/hsa-mir-301b/hsa-mir-135b/hsa-mir-130b/hsa-mir-148a/hsa-mir-1271/hsa-mir-19a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-23b/hsa-mir-345/hsa-mir-30c-1/hsa-mir-744/hsa-mir-323a/hsa-mir-210/hsa-mir-410/hsa-let-7e/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-330/hsa-mir-29b-2/hsa-mir-7-1/hsa-mir-374a/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-1291/hsa-mir-93/hsa-mir-181d/hsa-mir-196b/hsa-mir-100/hsa-mir-212/hsa-mir-18a/hsa-mir-155/hsa-mir-29c/hsa-mir-217/hsa-mir-483/hsa-mir-133a-2/hsa-mir-1247/hsa-mir-34b	50
oxidized low density lipoprotein (ox-LDL)	oxidized low density lipoprotein (ox-LDL)	43/196	125/1764	3.44E-13	1.14E-11	4.07E-12	hsa-mir-106a/hsa-mir-301a/hsa-mir-148b/hsa-mir-455/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-590/hsa-mir-126/hsa-mir-33a/hsa-mir-199a-2/hsa-mir-142/hsa-mir-135b/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-361/hsa-mir-345/hsa-mir-128-2/hsa-mir-140/hsa-mir-30c-1/hsa-mir-210/hsa-mir-410/hsa-let-7e/hsa-mir-30c-2/hsa-mir-222/hsa-mir-330/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-758/hsa-mir-29b-1/hsa-mir-149/hsa-mir-556/hsa-mir-328/hsa-mir-212/hsa-mir-1-2/hsa-mir-155/hsa-mir-203a/hsa-mir-490/hsa-mir-1-1/hsa-mir-217/hsa-mir-133a-2	43
Immune Response	Immune Response	36/196	92/1764	4.56E-13	1.43E-11	5.13E-12	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-590/hsa-mir-199b/hsa-mir-126/hsa-mir-192/hsa-mir-199a-2/hsa-mir-148a/hsa-mir-19a/hsa-mir-199a-1/hsa-mir-140/hsa-mir-107/hsa-mir-210/hsa-mir-143/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-132/hsa-mir-200c/hsa-mir-147b/hsa-mir-93/hsa-mir-181d/hsa-mir-196b/hsa-mir-100/hsa-mir-19b-1/hsa-mir-328/hsa-mir-18a/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-203b/hsa-mir-31/hsa-mir-217/hsa-mir-105-2/hsa-mir-486-1	36
