ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Carcinoma, Lung	Carcinoma, Lung	73/193	213/1764	1.96226926263488e-23	1.12027736084973e-21	3.53020690311347e-22	hsa-mir-139/hsa-mir-21/hsa-mir-96/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-183/hsa-mir-145/hsa-mir-141/hsa-mir-378a/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-592/hsa-mir-451a/hsa-mir-378c/hsa-mir-99a/hsa-mir-10b/hsa-mir-100/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-144/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-32/hsa-mir-193a/hsa-mir-335/hsa-mir-33b/hsa-mir-148b/hsa-mir-130b/hsa-mir-142/hsa-mir-192/hsa-mir-375/hsa-mir-1258/hsa-mir-187/hsa-mir-449a/hsa-mir-342/hsa-mir-93/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-301b/hsa-mir-495/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-203b/hsa-mir-33a/hsa-mir-937/hsa-mir-493/hsa-mir-7-1/hsa-mir-299/hsa-mir-143/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-503/hsa-mir-3662/hsa-mir-19a/hsa-mir-215/hsa-mir-494/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-149/hsa-mir-129-2/hsa-mir-224/hsa-mir-129-1/hsa-mir-7-2/hsa-mir-138-2	73
Carcinoma, Ovarian	Carcinoma, Ovarian	67/193	194/1764	1.68840850153014e-21	8.83600449134107e-20	2.78439296743567e-20	hsa-mir-21/hsa-mir-96/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-378a/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-451a/hsa-mir-378c/hsa-mir-210/hsa-mir-99a/hsa-mir-100/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-184/hsa-mir-497/hsa-mir-200c/hsa-mir-200b/hsa-mir-193a/hsa-mir-195/hsa-mir-335/hsa-mir-551b/hsa-mir-130b/hsa-mir-181b-1/hsa-mir-187/hsa-mir-449a/hsa-mir-204/hsa-mir-181b-2/hsa-mir-92b/hsa-mir-93/hsa-mir-155/hsa-mir-203a/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-940/hsa-mir-203b/hsa-mir-760/hsa-mir-381/hsa-mir-7-1/hsa-mir-1307/hsa-mir-143/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-433/hsa-mir-135b/hsa-mir-432/hsa-mir-483/hsa-mir-494/hsa-mir-411/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-376a-2/hsa-mir-149/hsa-mir-1284/hsa-mir-129-2/hsa-mir-224/hsa-mir-129-1/hsa-mir-7-2/hsa-mir-138-2	67
Carcinoma, Cervical	Carcinoma, Cervical	54/193	137/1764	3.70503985267752e-20	1.78981925190883e-18	5.64006066642409e-19	hsa-mir-139/hsa-mir-21/hsa-mir-96/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-99a/hsa-mir-100/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-337/hsa-mir-497/hsa-mir-200b/hsa-mir-195/hsa-mir-335/hsa-mir-148b/hsa-mir-142/hsa-mir-181b-1/hsa-mir-375/hsa-mir-187/hsa-mir-342/hsa-mir-181b-2/hsa-mir-93/hsa-mir-155/hsa-mir-203a/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-203b/hsa-mir-33a/hsa-mir-590/hsa-mir-143/hsa-mir-503/hsa-mir-376c/hsa-mir-215/hsa-mir-135b/hsa-mir-18a/hsa-mir-432/hsa-mir-494/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-329-2/hsa-mir-20b/hsa-mir-129-2/hsa-mir-329-1/hsa-mir-224/hsa-mir-129-1/hsa-mir-138-2	54
Adenocarcinoma, Lung	Adenocarcinoma, Lung	45/193	101/1764	2.84247630433984e-19	1.27505365651816e-17	4.01793643019466e-18	hsa-mir-21/hsa-mir-183/hsa-mir-145/hsa-mir-182/hsa-mir-200a/hsa-mir-592/hsa-mir-451a/hsa-mir-210/hsa-mir-99a/hsa-mir-497/hsa-mir-200c/hsa-mir-200b/hsa-mir-195/hsa-mir-33b/hsa-mir-511/hsa-mir-551b/hsa-mir-192/hsa-mir-375/hsa-mir-187/hsa-mir-342/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-203b/hsa-mir-590/hsa-mir-7-1/hsa-mir-452/hsa-mir-7-3/hsa-mir-326/hsa-mir-215/hsa-mir-18a/hsa-mir-483/hsa-mir-494/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-149/hsa-mir-519a-1/hsa-mir-202/hsa-mir-224/hsa-mir-7-2	45
TGF-beta	TGF-beta	42/193	90/1764	6.31737592405773e-19	2.6448747202055e-17	8.33450297349371e-18	hsa-mir-139/hsa-mir-21/hsa-mir-183/hsa-mir-145/hsa-mir-141/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-99a/hsa-mir-10b/hsa-mir-184/hsa-mir-200c/hsa-mir-200b/hsa-mir-195/hsa-mir-335/hsa-mir-301a/hsa-mir-181b-1/hsa-mir-375/hsa-mir-181b-2/hsa-mir-93/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-377/hsa-mir-584/hsa-mir-143/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-503/hsa-mir-675/hsa-mir-494/hsa-mir-639/hsa-mir-205/hsa-mir-106a/hsa-mir-455/hsa-mir-129-2/hsa-mir-202/hsa-mir-129-1/hsa-mir-577	42
Inflammation	Inflammation	47/193	112/1764	8.26255572828541e-19	3.24305312335202e-17	1.02194768218267e-17	hsa-mir-21/hsa-mir-183/hsa-mir-145/hsa-mir-141/hsa-mir-182/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-210/hsa-mir-100/hsa-mir-184/hsa-mir-144/hsa-mir-335/hsa-mir-33b/hsa-mir-130b/hsa-mir-142/hsa-mir-192/hsa-mir-181b-1/hsa-mir-342/hsa-mir-181b-2/hsa-mir-93/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-203b/hsa-mir-33a/hsa-mir-105-1/hsa-mir-7-1/hsa-mir-584/hsa-mir-143/hsa-mir-147b/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-19a/hsa-mir-188/hsa-mir-135b/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-455/hsa-mir-1224/hsa-mir-20b/hsa-mir-7-2/hsa-mir-138-2	47
Carcinoma, Pancreatic	Carcinoma, Pancreatic	57/193	161/1764	1.21367556715397e-18	4.4834603304276e-17	1.4128235704331e-17	hsa-mir-139/hsa-mir-21/hsa-mir-96/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-182/hsa-mir-200a/hsa-mir-210/hsa-mir-99a/hsa-mir-10b/hsa-mir-100/hsa-mir-196a-1/hsa-mir-365b/hsa-mir-196a-2/hsa-mir-365a/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-195/hsa-mir-335/hsa-mir-148b/hsa-mir-130b/hsa-mir-192/hsa-mir-301a/hsa-mir-181b-1/hsa-mir-375/hsa-mir-204/hsa-mir-181b-2/hsa-mir-93/hsa-mir-191/hsa-mir-155/hsa-mir-301b/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-940/hsa-mir-33a/hsa-mir-377/hsa-mir-7-1/hsa-mir-143/hsa-mir-7-3/hsa-mir-19a/hsa-mir-1247/hsa-mir-215/hsa-mir-135b/hsa-mir-345/hsa-mir-18a/hsa-mir-483/hsa-mir-494/hsa-mir-205/hsa-mir-106a/hsa-mir-202/hsa-mir-885/hsa-mir-7-2/hsa-mir-138-2	57
Glioblastoma	Glioblastoma	57/193	168/1764	1.28524977479604e-17	4.48409365873285e-16	1.41302314422021e-16	hsa-mir-139/hsa-mir-21/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-145/hsa-mir-429/hsa-mir-182/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-451a/hsa-mir-210/hsa-mir-10b/hsa-mir-100/hsa-mir-144/hsa-let-7c/hsa-mir-200c/hsa-mir-195/hsa-mir-130b/hsa-mir-142/hsa-mir-181b-1/hsa-mir-449a/hsa-mir-181b-2/hsa-mir-92b/hsa-mir-93/hsa-mir-191/hsa-mir-155/hsa-mir-203a/hsa-mir-203b/hsa-mir-590/hsa-mir-377/hsa-mir-7-1/hsa-mir-452/hsa-mir-299/hsa-mir-143/hsa-mir-147b/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-503/hsa-mir-326/hsa-mir-19a/hsa-mir-1247/hsa-mir-135b/hsa-mir-18a/hsa-mir-494/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-455/hsa-mir-149/hsa-mir-129-2/hsa-mir-224/hsa-mir-129-1/hsa-mir-577/hsa-mir-7-2	57
Carcinoma, Bladder	Carcinoma, Bladder	47/193	120/1764	2.50784240684264e-17	8.28907911314305e-16	2.6120463849663e-16	hsa-mir-139/hsa-mir-21/hsa-mir-96/hsa-mir-183/hsa-mir-145/hsa-mir-141/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-451a/hsa-mir-210/hsa-mir-99a/hsa-mir-10b/hsa-mir-100/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-144/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-193a/hsa-mir-195/hsa-mir-335/hsa-mir-130b/hsa-mir-192/hsa-mir-375/hsa-mir-92b/hsa-mir-93/hsa-mir-140/hsa-mir-155/hsa-mir-495/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-143/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-19a/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-20b/hsa-mir-224/hsa-mir-138-2	47
lipopolysaccharide (LPS)	lipopolysaccharide (LPS)	59/193	181/1764	2.6726565025197e-17	8.3473187195665e-16	2.6303987919519e-16	hsa-mir-21/hsa-mir-96/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-210/hsa-mir-99a/hsa-mir-100/hsa-mir-365a/hsa-mir-144/hsa-mir-497/hsa-let-7c/hsa-mir-200b/hsa-mir-32/hsa-mir-193a/hsa-mir-195/hsa-mir-148b/hsa-mir-130b/hsa-mir-142/hsa-mir-192/hsa-mir-301a/hsa-mir-181b-1/hsa-mir-375/hsa-mir-204/hsa-mir-342/hsa-mir-181b-2/hsa-mir-93/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-495/hsa-mir-381/hsa-mir-33a/hsa-mir-590/hsa-mir-7-1/hsa-mir-143/hsa-mir-147b/hsa-mir-7-3/hsa-mir-1277/hsa-mir-891a/hsa-mir-19a/hsa-mir-1247/hsa-mir-215/hsa-mir-675/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-129-2/hsa-mir-129-1/hsa-mir-7-2/hsa-mir-138-2	59
oxidized low density lipoprotein (ox-LDL)	oxidized low density lipoprotein (ox-LDL)	48/193	125/1764	2.79130084571491e-17	8.3473187195665e-16	2.6303987919519e-16	hsa-mir-139/hsa-mir-21/hsa-mir-183/hsa-mir-141/hsa-mir-182/hsa-mir-210/hsa-mir-190b/hsa-mir-365a/hsa-mir-144/hsa-mir-497/hsa-let-7c/hsa-mir-195/hsa-mir-148b/hsa-mir-142/hsa-mir-301a/hsa-mir-181b-1/hsa-mir-454/hsa-mir-204/hsa-mir-342/hsa-mir-181b-2/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-381/hsa-mir-33a/hsa-mir-590/hsa-mir-377/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-503/hsa-mir-326/hsa-mir-877/hsa-mir-654/hsa-mir-135b/hsa-mir-345/hsa-mir-758/hsa-mir-615/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-106a/hsa-mir-455/hsa-mir-149/hsa-mir-556/hsa-mir-202/hsa-mir-224	48
Breast Neoplasms	Breast Neoplasms	52/193	148/1764	9.20785363861379e-17	2.62842367502248e-15	8.28266260315498e-16	hsa-mir-21/hsa-mir-96/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-451a/hsa-mir-210/hsa-mir-190b/hsa-mir-10b/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-184/hsa-mir-497/hsa-mir-200c/hsa-mir-200b/hsa-mir-195/hsa-mir-335/hsa-mir-148b/hsa-mir-142/hsa-mir-181b-1/hsa-mir-204/hsa-mir-342/hsa-mir-181b-2/hsa-mir-93/hsa-mir-155/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-493/hsa-mir-7-1/hsa-mir-143/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-19a/hsa-mir-215/hsa-mir-135b/hsa-mir-345/hsa-mir-18a/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-205/hsa-mir-149/hsa-mir-20b/hsa-mir-129-2/hsa-mir-7-2	52
Gastrointestinal Neoplasms	Gastrointestinal Neoplasms	37/193	82/1764	4.44329223407968e-16	1.21321196652263e-14	3.82306151032943e-15	hsa-mir-139/hsa-mir-21/hsa-mir-145/hsa-mir-141/hsa-mir-378a/hsa-mir-451a/hsa-mir-378c/hsa-mir-210/hsa-mir-100/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-497/hsa-mir-200c/hsa-mir-200b/hsa-mir-195/hsa-mir-335/hsa-mir-148b/hsa-mir-130b/hsa-mir-181b-1/hsa-mir-375/hsa-mir-181b-2/hsa-mir-93/hsa-mir-191/hsa-mir-155/hsa-mir-7-1/hsa-mir-7-3/hsa-mir-433/hsa-mir-19a/hsa-mir-18a/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-106a/hsa-mir-20b/hsa-mir-129-2/hsa-mir-129-1/hsa-mir-7-2	37
Squamous Cell Carcinoma, Oral	Squamous Cell Carcinoma, Oral	37/193	83/1764	7.29634518139698e-16	1.90921032246554e-14	6.01628462325716e-15	hsa-mir-139/hsa-mir-21/hsa-mir-145/hsa-mir-429/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-210/hsa-mir-99a/hsa-mir-10b/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-184/hsa-mir-144/hsa-mir-200c/hsa-mir-32/hsa-mir-142/hsa-mir-375/hsa-mir-204/hsa-mir-92b/hsa-mir-155/hsa-mir-203a/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-203b/hsa-mir-377/hsa-mir-143/hsa-mir-433/hsa-mir-19a/hsa-mir-494/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-455/hsa-mir-3651/hsa-mir-224/hsa-mir-138-2	37
Adenocarcinoma, Pancreatic Ductal	Adenocarcinoma, Pancreatic Ductal	34/193	71/1764	8.48929336150584e-16	2.13251049241027e-14	6.71994590300252e-15	hsa-mir-21/hsa-mir-96/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-378a/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-378c/hsa-mir-210/hsa-mir-99a/hsa-mir-10b/hsa-mir-100/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-337/hsa-mir-200c/hsa-mir-200b/hsa-mir-301a/hsa-mir-181b-1/hsa-mir-375/hsa-mir-181b-2/hsa-mir-155/hsa-mir-940/hsa-mir-143/hsa-mir-326/hsa-mir-483/hsa-mir-494/hsa-mir-615/hsa-mir-106a/hsa-mir-224/hsa-mir-138-2	34
Bladder Neoplasms	Bladder Neoplasms	24/193	37/1764	2.26752292784623e-15	5.47693999495166e-14	1.72588789649834e-14	hsa-mir-21/hsa-mir-145/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-210/hsa-mir-99a/hsa-mir-200b/hsa-mir-181b-1/hsa-mir-181b-2/hsa-mir-93/hsa-mir-203a/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-203b/hsa-mir-143/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-503/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-1224/hsa-mir-149	24
Carcinoma, Renal Cell	Carcinoma, Renal Cell	44/193	119/1764	4.2560433568296e-15	9.89924158551478e-14	3.11943918551254e-14	hsa-mir-21/hsa-mir-96/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-378a/hsa-mir-182/hsa-mir-200a/hsa-mir-451a/hsa-mir-378c/hsa-mir-210/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-184/hsa-mir-144/hsa-mir-497/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-193a/hsa-mir-195/hsa-mir-148b/hsa-mir-142/hsa-mir-454/hsa-mir-204/hsa-mir-3065/hsa-mir-93/hsa-mir-155/hsa-mir-203a/hsa-mir-495/hsa-mir-381/hsa-mir-590/hsa-mir-7-1/hsa-mir-452/hsa-mir-143/hsa-mir-7-3/hsa-mir-19a/hsa-mir-205/hsa-mir-106a/hsa-mir-129-2/hsa-mir-224/hsa-mir-7-2/hsa-mir-138-2	44
5-fluorouracil (5-FU)	5-fluorouracil (5-FU)	43/193	118/1764	1.7368261679062e-14	3.89545297658962e-13	1.22753127656528e-13	hsa-mir-21/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-145/hsa-mir-141/hsa-mir-182/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-210/hsa-mir-99a/hsa-mir-10b/hsa-mir-365a/hsa-let-7c/hsa-mir-200b/hsa-mir-32/hsa-mir-193a/hsa-mir-195/hsa-mir-130b/hsa-mir-192/hsa-mir-181b-1/hsa-mir-204/hsa-mir-342/hsa-mir-181b-2/hsa-mir-155/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-760/hsa-mir-19a/hsa-mir-877/hsa-mir-215/hsa-mir-135b/hsa-mir-483/hsa-mir-758/hsa-mir-615/hsa-mir-205/hsa-mir-106a/hsa-mir-455/hsa-mir-3619/hsa-mir-1224/hsa-mir-4728/hsa-mir-149/hsa-mir-224/hsa-mir-1229	43
Diabetes Mellitus, Type 2	Diabetes Mellitus, Type 2	48/193	147/1764	5.41193068307959e-14	1.17196292033586e-12	3.69307792529569e-13	hsa-mir-21/hsa-mir-96/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-145/hsa-mir-182/hsa-mir-200a/hsa-mir-451a/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-144/hsa-let-7c/hsa-mir-200c/hsa-mir-200b/hsa-mir-195/hsa-mir-33b/hsa-mir-148b/hsa-mir-142/hsa-mir-192/hsa-mir-181b-1/hsa-mir-375/hsa-mir-454/hsa-mir-187/hsa-mir-181b-2/hsa-mir-665/hsa-mir-93/hsa-mir-191/hsa-mir-155/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-33a/hsa-mir-590/hsa-mir-7-1/hsa-mir-143/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-503/hsa-mir-376c/hsa-mir-18a/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-455/hsa-mir-376a-2/hsa-mir-20b/hsa-mir-7-2/hsa-mir-138-2	48
Squamous Cell Carcinoma, Esophageal	Squamous Cell Carcinoma, Esophageal	47/193	142/1764	5.8974794175088e-14	1.23453902473184e-12	3.89026712453212e-13	hsa-mir-139/hsa-mir-21/hsa-mir-183/hsa-mir-145/hsa-mir-200a/hsa-mir-10b/hsa-mir-100/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-337/hsa-let-7c/hsa-mir-200b/hsa-mir-193a/hsa-mir-195/hsa-mir-335/hsa-mir-33b/hsa-mir-148b/hsa-mir-130b/hsa-mir-375/hsa-mir-92b/hsa-mir-155/hsa-mir-203a/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-203b/hsa-mir-7-1/hsa-mir-143/hsa-mir-7-3/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-19a/hsa-mir-18a/hsa-mir-483/hsa-mir-494/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-205/hsa-mir-106a/hsa-mir-376a-2/hsa-mir-129-2/hsa-mir-202/hsa-mir-3651/hsa-mir-224/hsa-mir-129-1/hsa-mir-577/hsa-mir-7-2	47
Choriocarcinoma	Choriocarcinoma	29/193	60/1764	1.07307200107337e-13	2.1738361828196e-12	6.85017100854985e-13	hsa-mir-21/hsa-mir-183/hsa-mir-145/hsa-mir-429/hsa-mir-182/hsa-mir-200a/hsa-mir-210/hsa-mir-10b/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-200c/hsa-mir-200b/hsa-mir-195/hsa-mir-192/hsa-mir-181b-1/hsa-mir-449a/hsa-mir-204/hsa-mir-181b-2/hsa-mir-93/hsa-mir-191/hsa-mir-155/hsa-mir-203a/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-203b/hsa-mir-143/hsa-mir-215/hsa-mir-205/hsa-mir-106a	29
Curcumin (Cur)	Curcumin (Cur)	40/193	110/1764	1.87792817625368e-13	3.68543404589786e-12	1.16135031952530e-12	hsa-mir-21/hsa-mir-96/hsa-mir-183/hsa-mir-145/hsa-mir-141/hsa-mir-182/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-210/hsa-mir-99a/hsa-let-7c/hsa-mir-200c/hsa-mir-195/hsa-mir-335/hsa-mir-142/hsa-mir-192/hsa-mir-181b-1/hsa-mir-181b-2/hsa-mir-93/hsa-mir-155/hsa-mir-203a/hsa-mir-33a/hsa-mir-7-1/hsa-mir-143/hsa-mir-7-3/hsa-mir-326/hsa-mir-19a/hsa-mir-654/hsa-mir-1247/hsa-mir-215/hsa-mir-675/hsa-mir-411/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-129-2/hsa-mir-129-1/hsa-mir-7-2/hsa-mir-138-2	40
high glucose (HG)	high glucose (HG)	50/193	163/1764	2.3801968902015e-13	4.52958680923195e-12	1.4273589006631e-12	hsa-mir-139/hsa-mir-21/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-145/hsa-mir-429/hsa-mir-141/hsa-mir-200a/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-210/hsa-mir-365a/hsa-mir-144/hsa-mir-337/hsa-mir-497/hsa-mir-200c/hsa-mir-200b/hsa-mir-32/hsa-mir-193a/hsa-mir-195/hsa-mir-33b/hsa-mir-130b/hsa-mir-142/hsa-mir-192/hsa-mir-375/hsa-mir-342/hsa-mir-93/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-495/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-33a/hsa-mir-590/hsa-mir-377/hsa-mir-452/hsa-mir-143/hsa-mir-503/hsa-mir-877/hsa-mir-188/hsa-mir-135b/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-455/hsa-mir-329-2/hsa-mir-20b/hsa-mir-329-1/hsa-mir-138-2	50
cisplatin (DDP)	cisplatin (DDP)	50/193	167/1764	6.97192960624489e-13	1.28775640962406e-11	4.05796521973387e-12	hsa-mir-139/hsa-mir-21/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-182/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-451a/hsa-mir-210/hsa-mir-99a/hsa-mir-10b/hsa-mir-100/hsa-mir-144/hsa-mir-337/hsa-mir-497/hsa-let-7c/hsa-mir-200b/hsa-mir-193a/hsa-mir-195/hsa-mir-33b/hsa-mir-142/hsa-mir-192/hsa-mir-375/hsa-mir-454/hsa-mir-342/hsa-mir-93/hsa-mir-191/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-495/hsa-mir-133a-1/hsa-mir-133a-2/hsa-mir-33a/hsa-mir-377/hsa-mir-1307/hsa-mir-299/hsa-mir-143/hsa-mir-19a/hsa-mir-494/hsa-mir-758/hsa-mir-455/hsa-mir-3619/hsa-mir-329-2/hsa-mir-149/hsa-mir-519a-1/hsa-mir-129-2/hsa-mir-329-1/hsa-mir-129-1/hsa-mir-138-2	50
arsenic trioxide (ATO)	arsenic trioxide (ATO)	32/193	77/1764	9.73691823808757e-13	1.74708132957686e-11	5.50538534965553e-12	hsa-mir-21/hsa-mir-96/hsa-mir-183/hsa-mir-141/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-210/hsa-mir-10b/hsa-mir-100/hsa-mir-184/hsa-mir-144/hsa-mir-200c/hsa-mir-32/hsa-mir-193a/hsa-mir-335/hsa-mir-148b/hsa-mir-204/hsa-mir-191/hsa-mir-140/hsa-mir-155/hsa-mir-143/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-19a/hsa-mir-215/hsa-mir-18a/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-9-3/hsa-mir-376a-2/hsa-mir-149/hsa-mir-20b	32
Lung Neoplasms	Lung Neoplasms	39/193	110/1764	1.04128203110993e-12	1.77736225903956e-11	5.60080631410388e-12	hsa-mir-21/hsa-mir-486-1/hsa-mir-486-2/hsa-mir-183/hsa-mir-145/hsa-mir-182/hsa-mir-125b-1/hsa-mir-125b-2/hsa-mir-210/hsa-mir-196a-1/hsa-mir-196a-2/hsa-let-7c/hsa-mir-193a/hsa-mir-142/hsa-mir-192/hsa-mir-181b-1/hsa-mir-375/hsa-mir-1258/hsa-mir-187/hsa-mir-181b-2/hsa-mir-93/hsa-mir-191/hsa-mir-140/hsa-mir-155/hsa-mir-203a/hsa-mir-495/hsa-mir-203b/hsa-mir-381/hsa-mir-33a/hsa-mir-143/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-18a/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-205/hsa-mir-106a/hsa-mir-129-2/hsa-mir-224	39
