gene_id	Description
hsa-mir-34a	Aging
hsa-mir-30a	Aging
hsa-mir-31	Aging
hsa-mir-96	Aging
hsa-mir-30d	Aging
hsa-mir-30e	Aging
hsa-mir-16-2	Aging
hsa-mir-181a-2	Aging
hsa-mir-17	Aging
hsa-mir-200c	Aging
hsa-mir-10a	Aging
hsa-mir-9-1	Aging
hsa-mir-9-3	Aging
hsa-mir-9-2	Aging
hsa-mir-155	Aging
hsa-mir-7-3	Aging
hsa-mir-7-2	Aging
hsa-mir-7-1	Aging
hsa-mir-30b	Aging
hsa-mir-181b-2	Aging
hsa-mir-543	Aging
hsa-mir-18a	Aging
hsa-mir-141	Aging
hsa-mir-181b-1	Aging
hsa-mir-151a	Aging
hsa-mir-144	Aging
hsa-mir-92a-2	Aging
hsa-mir-195	Aging
hsa-mir-1248	Aging
hsa-mir-146b	Aging
hsa-mir-146a	Aging
hsa-let-7a-3	Aging
hsa-let-7a-1	Aging
hsa-mir-15a	Angiogenesis
hsa-mir-21	Angiogenesis
hsa-mir-22	Angiogenesis
hsa-mir-718	Angiogenesis
hsa-let-7f-1	Angiogenesis
hsa-let-7f-2	Angiogenesis
hsa-mir-190b	Angiogenesis
hsa-mir-492	Angiogenesis
hsa-mir-190a	Angiogenesis
hsa-mir-320e	Angiogenesis
hsa-mir-145	Angiogenesis
hsa-mir-205	Angiogenesis
hsa-mir-143	Angiogenesis
hsa-mir-320a	Angiogenesis
hsa-mir-370	Angiogenesis
hsa-mir-133b	Angiogenesis
hsa-mir-129-1	Angiogenesis
hsa-mir-221	Angiogenesis
hsa-mir-149	Angiogenesis
hsa-let-7b	Angiogenesis
hsa-mir-378c	Angiogenesis
hsa-mir-122	Angiogenesis
hsa-mir-16-1	Angiogenesis
hsa-mir-378f	Angiogenesis
hsa-mir-378g	Angiogenesis
hsa-mir-126	Angiogenesis
hsa-mir-378e	Angiogenesis
hsa-mir-19a	Angiogenesis
hsa-mir-222	Angiogenesis
hsa-mir-27b	Angiogenesis
hsa-mir-34a	Angiogenesis
hsa-mir-184	Angiogenesis
hsa-mir-30a	Angiogenesis
hsa-mir-31	Angiogenesis
hsa-mir-378b	Angiogenesis
hsa-mir-19b-2	Angiogenesis
hsa-mir-1275	Angiogenesis
hsa-mir-486-2	Angiogenesis
hsa-mir-19b-1	Angiogenesis
hsa-mir-20a	Angiogenesis
hsa-mir-640	Angiogenesis
hsa-mir-891a	Angiogenesis
hsa-mir-17	Angiogenesis
hsa-mir-10b	Angiogenesis
hsa-mir-320b-1	Angiogenesis
hsa-mir-320b-2	Angiogenesis
hsa-mir-150	Angiogenesis
hsa-mir-382	Angiogenesis
hsa-mir-378a	Angiogenesis
hsa-mir-130a	Angiogenesis
hsa-mir-210	Angiogenesis
hsa-mir-133a-1	Angiogenesis
hsa-mir-93	Angiogenesis
hsa-mir-133a-2	Angiogenesis
hsa-mir-363	Angiogenesis
hsa-mir-18a	Angiogenesis
hsa-mir-497	Angiogenesis
hsa-mir-16-2	Angiogenesis
hsa-mir-134	Angiogenesis
hsa-mir-296	Angiogenesis
hsa-mir-92a-1	Angiogenesis
hsa-mir-92a-2	Angiogenesis
hsa-mir-486-1	Angiogenesis
hsa-mir-1246	Angiogenesis
hsa-mir-146a	Angiogenesis
hsa-let-7b	Anti-Cell Proliferation(Hwang Etal Bjc2007)
hsa-mir-15a	Anti-Cell Proliferation(Hwang Etal Bjc2007)
hsa-let-7g	Anti-Cell Proliferation(Hwang Etal Bjc2007)
hsa-let-7d	Anti-Cell Proliferation(Hwang Etal Bjc2007)
hsa-let-7c	Anti-Cell Proliferation(Hwang Etal Bjc2007)
hsa-let-7i	Anti-Cell Proliferation(Hwang Etal Bjc2007)
hsa-mir-98	Anti-Cell Proliferation(Hwang Etal Bjc2007)
hsa-let-7e	Anti-Cell Proliferation(Hwang Etal Bjc2007)
hsa-mir-485	Antiviral Immunity
hsa-mir-23a	Antiviral Immunity
hsa-mir-204	Apoptosis
hsa-mir-449a	Apoptosis
hsa-mir-370	Apoptosis
hsa-mir-372	Apoptosis
hsa-mir-122	Apoptosis
hsa-mir-126	Apoptosis
hsa-mir-101-2	Apoptosis
hsa-mir-101-1	Apoptosis
hsa-mir-19a	Apoptosis
hsa-mir-19b-2	Apoptosis
hsa-mir-29c	Apoptosis
hsa-mir-19b-1	Apoptosis
hsa-mir-20a	Apoptosis
hsa-mir-769	Apoptosis
hsa-mir-210	Apoptosis
hsa-mir-24-1	Apoptosis
hsa-mir-125a	Apoptosis
hsa-mir-24-2	Apoptosis
hsa-mir-1246	Apoptosis
hsa-mir-195	Apoptosis
hsa-mir-449b	Apoptosis
hsa-mir-650	Apoptosis
hsa-mir-494	Apoptosis
hsa-mir-218-2	Apoptosis
hsa-mir-218-1	Apoptosis
hsa-mir-497	Apoptosis
hsa-mir-135a-2	Apoptosis
hsa-mir-135a-1	Apoptosis
hsa-mir-26a-2	Apoptosis
hsa-mir-26a-1	Apoptosis
hsa-mir-552	Apoptosis
hsa-mir-182	Apoptosis
hsa-mir-27a	Apoptosis
hsa-mir-30a	Apoptosis
hsa-mir-30b	Apoptosis
hsa-mir-30e	Apoptosis
hsa-mir-10a	Apoptosis
hsa-mir-323b	Apoptosis
hsa-mir-323a	Apoptosis
hsa-mir-133a-1	Apoptosis
hsa-mir-208a	Apoptosis
hsa-mir-424	Apoptosis
hsa-mir-18a	Apoptosis
hsa-mir-29b-1	Apoptosis
hsa-mir-203b	Apoptosis
hsa-mir-203a	Apoptosis
hsa-mir-29b-2	Apoptosis
hsa-mir-92a-1	Apoptosis
hsa-mir-92a-2	Apoptosis
hsa-mir-133b	Apoptosis
hsa-mir-26b	Apoptosis
hsa-mir-193a	Apoptosis
hsa-mir-138-1	Apoptosis
hsa-mir-15a	Apoptosis
hsa-mir-15b	Apoptosis
hsa-mir-421	Apoptosis
hsa-mir-181a-1	Apoptosis
hsa-mir-181a-2	Apoptosis
hsa-let-7c	Apoptosis
hsa-mir-133a-2	Apoptosis
hsa-let-7g	Apoptosis
hsa-mir-17	Apoptosis
hsa-mir-605	Apoptosis
hsa-mir-98	Apoptosis
hsa-mir-9-3	Apoptosis
hsa-mir-9-2	Apoptosis
hsa-mir-155	Apoptosis
hsa-mir-7-3	Apoptosis
hsa-mir-7-2	Apoptosis
hsa-mir-7-1	Apoptosis
hsa-mir-4516	Apoptosis
hsa-mir-608	Apoptosis
hsa-mir-96	Apoptosis
hsa-mir-326	Apoptosis
hsa-mir-9-1	Apoptosis
hsa-mir-144	Apoptosis
hsa-mir-1208	Apoptosis
hsa-mir-29a	Apoptosis
hsa-mir-4497	Apoptosis
hsa-mir-21	Apoptosis
hsa-mir-28	Apoptosis
hsa-mir-23a	Apoptosis
hsa-mir-148a	Apoptosis
hsa-mir-145	Apoptosis
hsa-mir-143	Apoptosis
hsa-mir-510	Apoptosis
hsa-mir-222	Apoptosis
hsa-mir-221	Apoptosis
hsa-mir-16-2	Apoptosis
hsa-mir-16-1	Apoptosis
hsa-mir-193b	Apoptosis
hsa-mir-34a	Apoptosis
hsa-mir-34b	Apoptosis
hsa-mir-34c	Apoptosis
hsa-mir-1-2	Apoptosis
hsa-mir-216a	Apoptosis
hsa-mir-216b	Apoptosis
hsa-mir-130a	Apoptosis
hsa-mir-138-2	Apoptosis
hsa-mir-504	Apoptosis
hsa-mir-551b	Apoptosis
hsa-mir-132	Apoptosis
hsa-mir-150	Apoptosis
hsa-mir-942	Apoptosis
hsa-mir-146a	Apoptosis
hsa-mir-940	Apoptosis
hsa-mir-21	Autophagy
hsa-mir-106b	Autophagy
hsa-mir-144	Autophagy
hsa-mir-382	Autophagy
hsa-mir-320a	Autophagy
hsa-mir-30a	Autophagy
hsa-mir-30b	Autophagy
hsa-mir-216b	Autophagy
hsa-mir-132	B cell differentiation
hsa-mir-134	B cell differentiation
hsa-mir-548d-1	B cell differentiation
hsa-mir-212	B cell differentiation
hsa-mir-369	B cell differentiation
hsa-mir-548d-2	B cell differentiation
hsa-mir-628	B cell differentiation
hsa-mir-124-1	Bile Duct Proliferation
hsa-mir-124-3	Bile Duct Proliferation
hsa-mir-124-2	Bile Duct Proliferation
hsa-mir-181a-1	Blood-Tumor Barrier Permeability
hsa-mir-181a-2	Blood-Tumor Barrier Permeability
hsa-mir-34c	Blood-Tumor Barrier Permeability
hsa-mir-130b	Bone Regeneration
hsa-mir-22	Bone Regeneration
hsa-mir-153-2	Bone Regeneration
hsa-mir-23b	Bone Regeneration
hsa-mir-148b	Bone Regeneration
hsa-mir-143	Bone Regeneration
hsa-mir-222	Bone Regeneration
hsa-mir-221	Bone Regeneration
hsa-let-7b	Bone Regeneration
hsa-mir-196a-2	Bone Regeneration
hsa-let-7d	Bone Regeneration
hsa-mir-337	Bone Regeneration
hsa-mir-19a	Bone Regeneration
hsa-mir-377	Bone Regeneration
hsa-mir-34c	Bone Regeneration
hsa-mir-1-1	Bone Regeneration
hsa-mir-1-2	Bone Regeneration
hsa-mir-20b	Bone Regeneration
hsa-mir-196a-1	Bone Regeneration
hsa-mir-17	Bone Regeneration
hsa-mir-155	Bone Regeneration
hsa-mir-153-1	Bone Regeneration
hsa-mir-210	Bone Regeneration
hsa-mir-93	Bone Regeneration
hsa-mir-424	Bone Regeneration
hsa-mir-18b	Bone Regeneration
hsa-mir-24-1	Bone Regeneration
hsa-mir-24-2	Bone Regeneration
hsa-mir-92a-1	Bone Regeneration
hsa-mir-92a-2	Bone Regeneration
hsa-mir-103a-2	Brain Development
hsa-mir-103a-1	Brain Development
hsa-mir-218-2	Brain Development
hsa-mir-218-1	Brain Development
hsa-mir-103b-1	Brain Development
hsa-mir-103b-2	Brain Development
hsa-mir-1911	Brain Development
hsa-mir-124-1	Brain Development
hsa-mir-222	Brain Development
hsa-mir-124-3	Brain Development
hsa-mir-124-2	Brain Development
hsa-mir-135a-2	Brain Development
hsa-mir-135a-1	Brain Development
hsa-mir-128-1	Brain Development
hsa-mir-128-2	Brain Development
hsa-mir-221	Brain Development
hsa-mir-184	Brain Development
hsa-mir-29c	Brain Development
hsa-mir-20a	Brain Development
hsa-mir-17	Brain Development
hsa-mir-10b	Brain Development
hsa-mir-10a	Brain Development
hsa-mir-323b	Brain Development
hsa-mir-9-3	Brain Development
hsa-mir-9-2	Brain Development
hsa-mir-155	Brain Development
hsa-mir-9-1	Brain Development
hsa-mir-326	Brain Development
hsa-mir-134	Brain Development
hsa-mir-106a	Brain Development
hsa-mir-135b	Brain Development
hsa-mir-106b	Brain Development
hsa-mir-133b	Brain Development
hsa-mir-323a	Brain Development
hsa-mir-191	Brain Development
hsa-mir-192	Brain Development
hsa-mir-200b	Carbohydrate Metabolism
hsa-mir-122	Carbohydrate Metabolism
hsa-mir-200a	Carbohydrate Metabolism
hsa-mir-21	Carbohydrate Metabolism
hsa-mir-451b	Carbohydrate Metabolism
hsa-mir-451a	Carbohydrate Metabolism
hsa-mir-429	Carbohydrate Metabolism
hsa-mir-27b	Carbohydrate Metabolism
hsa-mir-186	Carbohydrate Metabolism
hsa-mir-15a	Cardiac Regeneration
hsa-mir-15b	Cardiac Regeneration
hsa-mir-302f	Cardiac Regeneration
hsa-mir-302e	Cardiac Regeneration
hsa-mir-302d	Cardiac Regeneration
hsa-mir-302c	Cardiac Regeneration
hsa-mir-302b	Cardiac Regeneration
hsa-mir-302a	Cardiac Regeneration
hsa-mir-100	Cardiac Regeneration
hsa-let-7c	Cardiac Regeneration
hsa-mir-1-1	Cardiac Regeneration
hsa-mir-1-2	Cardiac Regeneration
hsa-mir-199a-1	Cardiac Regeneration
hsa-mir-199a-2	Cardiac Regeneration
hsa-mir-133a-1	Cardiac Regeneration
hsa-mir-367	Cardiac Regeneration
hsa-mir-133a-2	Cardiac Regeneration
hsa-mir-99a	Cardiac Regeneration
hsa-mir-99b	Cardiac Regeneration
hsa-let-7a-2	Cardiac Regeneration
hsa-let-7a-3	Cardiac Regeneration
hsa-let-7a-1	Cardiac Regeneration
hsa-mir-122	Cardiac Remodeling
hsa-mir-22	Cardiac Remodeling
hsa-mir-17	Cardiac Remodeling
hsa-mir-34a	Cardiac Remodeling
hsa-mir-184	Cardiac Remodeling
hsa-mir-208b	Cardiac Remodeling
hsa-mir-146a	Cardiac Remodeling
hsa-mir-222	Cardiac Remodeling
hsa-mir-21	Cardiac Remodeling
hsa-let-7c	Cardiogenesis
hsa-mir-133a-2	Cardiogenesis
hsa-mir-99a	Cardiogenesis
hsa-mir-134	Cardiogenesis
hsa-mir-1-1	Cardiogenesis
hsa-mir-133a-1	Cardiogenesis
hsa-mir-1-2	Cardiogenesis
hsa-mir-21	Cardiomyocyte Apoptosis
hsa-mir-133b	Cardiomyocyte Apoptosis
hsa-mir-133a-1	Cardiomyocyte Apoptosis
hsa-mir-30b	Cardiomyocyte Apoptosis
hsa-mir-133a-2	Cardiomyocyte Apoptosis
hsa-mir-30d	Cardiomyocyte Apoptosis
hsa-mir-146b	Cardiomyocyte Apoptosis
hsa-mir-590	Cardiomyocyte Differentiation
hsa-mir-424	Cardiomyocyte Differentiation
hsa-mir-222	Cardiomyocyte Differentiation
hsa-mir-424	Cardiomyocyte Migration
hsa-mir-222	Cardiomyocyte Migration
hsa-mir-424	Cardiomyocyte Proliferation
hsa-mir-10a	Cardiomyocyte Proliferation
hsa-mir-222	Cardiomyocyte Proliferation
hsa-mir-204	Cardiomyocyte Proliferation
hsa-mir-15b	Cardiotoxicity
hsa-mir-1303	Cardiotoxicity
hsa-mir-34c	Cardiotoxicity
hsa-mir-424	Cardiotoxicity
hsa-mir-182	Cardiotoxicity
hsa-mir-214	Cardiotoxicity
hsa-mir-199b	Cardiotoxicity
hsa-mir-199a-1	Cardiotoxicity
hsa-mir-187	Cardiotoxicity
hsa-mir-34b	Cardiotoxicity
hsa-mir-199a-2	Cardiotoxicity
hsa-mir-4423	Cardiotoxicity
hsa-mir-130a	Cardiotoxicity
hsa-mir-146a	Cardiotoxicity
hsa-mir-486-1	Cardiotoxicity
hsa-mir-486-2	Cardiotoxicity
hsa-mir-34a	Cardiotoxicity
hsa-mir-200b	Cell Adhesion
hsa-mir-200c	Cell Adhesion
hsa-mir-200a	Cell Adhesion
hsa-mir-29b-1	Cell Adhesion
hsa-mir-17	Cell Adhesion
hsa-mir-29b-2	Cell Adhesion
hsa-mir-29c	Cell Adhesion
hsa-mir-29a	Cell Adhesion
hsa-mir-15a	Cell Cycle
hsa-mir-20a	Cell Cycle
hsa-mir-124-3	Cell Cycle
hsa-mir-15b	Cell Cycle
hsa-mir-103a-2	Cell Cycle
hsa-mir-21	Cell Cycle
hsa-mir-103a-1	Cell Cycle
hsa-mir-494	Cell Cycle
hsa-mir-19a	Cell Cycle
hsa-mir-141	Cell Cycle
hsa-mir-103b-1	Cell Cycle
hsa-mir-103b-2	Cell Cycle
hsa-mir-320e	Cell Cycle
hsa-mir-145	Cell Cycle
hsa-mir-205	Cell Cycle
hsa-mir-143	Cell Cycle
hsa-mir-140	Cell Cycle
hsa-mir-206	Cell Cycle
hsa-mir-373	Cell Cycle
hsa-mir-372	Cell Cycle
hsa-mir-124-1	Cell Cycle
hsa-mir-107	Cell Cycle
hsa-mir-221	Cell Cycle
hsa-mir-124-2	Cell Cycle
hsa-mir-16-2	Cell Cycle
hsa-mir-200c	Cell Cycle
hsa-mir-122	Cell Cycle
hsa-mir-16-1	Cell Cycle
hsa-let-7g	Cell Cycle
hsa-mir-223	Cell Cycle
hsa-mir-331	Cell Cycle
hsa-mir-222	Cell Cycle
hsa-mir-182	Cell Cycle
hsa-mir-27a	Cell Cycle
hsa-mir-27b	Cell Cycle
hsa-mir-34a	Cell Cycle
hsa-mir-34b	Cell Cycle
hsa-mir-185	Cell Cycle
hsa-mir-1-1	Cell Cycle
hsa-mir-31	Cell Cycle
hsa-mir-1-2	Cell Cycle
hsa-mir-19b-2	Cell Cycle
hsa-mir-19b-1	Cell Cycle
hsa-mir-125b-1	Cell Cycle
hsa-let-7b	Cell Cycle
hsa-mir-200b	Cell Cycle
hsa-mir-125b-2	Cell Cycle
hsa-mir-17	Cell Cycle
hsa-mir-196a-1	Cell Cycle
hsa-mir-196a-2	Cell Cycle
hsa-mir-503	Cell Cycle
hsa-mir-34c	Cell Cycle
hsa-mir-320b-1	Cell Cycle
hsa-mir-320b-2	Cell Cycle
hsa-mir-9-1	Cell Cycle
hsa-mir-98	Cell Cycle
hsa-mir-9-3	Cell Cycle
hsa-mir-9-2	Cell Cycle
hsa-mir-155	Cell Cycle
hsa-mir-210	Cell Cycle
hsa-mir-138-2	Cell Cycle
hsa-mir-29b-1	Cell Cycle
hsa-mir-92b	Cell Cycle
hsa-mir-138-1	Cell Cycle
hsa-mir-424	Cell Cycle
hsa-mir-96	Cell Cycle
hsa-mir-18a	Cell Cycle
hsa-mir-497	Cell Cycle
hsa-mir-29b-2	Cell Cycle
hsa-let-7a-2	Cell Cycle
hsa-mir-24-2	Cell Cycle
hsa-mir-33b	Cell Cycle
hsa-mir-92a-1	Cell Cycle
hsa-mir-92a-2	Cell Cycle
hsa-let-7a-3	Cell Cycle
hsa-mir-24-1	Cell Cycle
hsa-mir-150	Cell Cycle
hsa-mir-195	Cell Cycle
hsa-mir-320a	Cell Cycle
hsa-let-7a-1	Cell Cycle
hsa-mir-191	Cell Cycle
hsa-mir-449a	Cell Cycle
hsa-mir-449b	Cell Cycle
hsa-mir-25	Cell Death
hsa-mir-21	Cell Death
hsa-mir-1226	Cell Death
hsa-let-7f-1	Cell Death
hsa-mir-494	Cell Death
hsa-let-7f-2	Cell Death
hsa-mir-23a	Cell Death
hsa-mir-23b	Cell Death
hsa-mir-630	Cell Death
hsa-mir-19b-1	Cell Death
hsa-let-7a-2	Cell Death
hsa-mir-145	Cell Death
hsa-mir-205	Cell Death
hsa-mir-143	Cell Death
hsa-mir-206	Cell Death
hsa-mir-210	Cell Death
hsa-mir-181a-1	Cell Death
hsa-mir-221	Cell Death
hsa-mir-30c-2	Cell Death
hsa-let-7b	Cell Death
hsa-let-7c	Cell Death
hsa-mir-16-1	Cell Death
hsa-mir-129-1	Cell Death
hsa-let-7g	Cell Death
hsa-let-7d	Cell Death
hsa-let-7e	Cell Death
hsa-let-7i	Cell Death
hsa-mir-19a	Cell Death
hsa-mir-222	Cell Death
hsa-mir-128-1	Cell Death
hsa-mir-183	Cell Death
hsa-mir-128-2	Cell Death
hsa-mir-181a-2	Cell Death
hsa-mir-184	Cell Death
hsa-mir-1-1	Cell Death
hsa-mir-30b	Cell Death
hsa-mir-1-2	Cell Death
hsa-mir-30d	Cell Death
hsa-mir-29c	Cell Death
hsa-mir-34a	Cell Death
hsa-mir-20a	Cell Death
hsa-mir-16-2	Cell Death
hsa-mir-129-2	Cell Death
hsa-mir-125b-2	Cell Death
hsa-mir-17	Cell Death
hsa-mir-10b	Cell Death
hsa-mir-497	Cell Death
hsa-mir-29b-2	Cell Death
hsa-mir-30c-1	Cell Death
hsa-mir-939	Cell Death
hsa-mir-98	Cell Death
hsa-mir-376c	Cell Death
hsa-mir-212	Cell Death
hsa-mir-130b	Cell Death
hsa-mir-182	Cell Death
hsa-mir-7-3	Cell Death
hsa-mir-7-2	Cell Death
hsa-mir-7-1	Cell Death
hsa-mir-181b-2	Cell Death
hsa-mir-380	Cell Death
hsa-mir-18a	Cell Death
hsa-mir-29b-1	Cell Death
hsa-mir-203b	Cell Death
hsa-mir-203a	Cell Death
hsa-mir-24-2	Cell Death
hsa-mir-19b-2	Cell Death
hsa-mir-134	Cell Death
hsa-mir-92a-1	Cell Death
hsa-mir-92a-2	Cell Death
hsa-mir-24-1	Cell Death
hsa-mir-885	Cell Death
hsa-mir-125b-1	Cell Death
hsa-mir-155	Cell Death
hsa-mir-181b-1	Cell Death
hsa-mir-29a	Cell Death
hsa-mir-146a	Cell Death
hsa-let-7a-3	Cell Death
hsa-let-7a-1	Cell Death
hsa-mir-15a	Cell Differentiation
hsa-mir-136	Cell Differentiation
hsa-let-7f-1	Cell Differentiation
hsa-mir-218-2	Cell Differentiation
hsa-mir-218-1	Cell Differentiation
hsa-let-7f-2	Cell Differentiation
hsa-mir-194-1	Cell Differentiation
hsa-mir-302a	Cell Differentiation
hsa-mir-125b-2	Cell Differentiation
hsa-mir-143	Cell Differentiation
hsa-mir-206	Cell Differentiation
hsa-mir-124-1	Cell Differentiation
hsa-mir-222	Cell Differentiation
hsa-mir-124-3	Cell Differentiation
hsa-mir-124-2	Cell Differentiation
hsa-let-7b	Cell Differentiation
hsa-let-7c	Cell Differentiation
hsa-mir-16-1	Cell Differentiation
hsa-let-7g	Cell Differentiation
hsa-mir-126	Cell Differentiation
hsa-let-7e	Cell Differentiation
hsa-let-7i	Cell Differentiation
hsa-mir-503	Cell Differentiation
hsa-mir-182	Cell Differentiation
hsa-mir-183	Cell Differentiation
hsa-let-7d	Cell Differentiation
hsa-mir-34a	Cell Differentiation
hsa-mir-34b	Cell Differentiation
hsa-mir-495	Cell Differentiation
hsa-mir-1-1	Cell Differentiation
hsa-mir-1-2	Cell Differentiation
hsa-mir-125b-1	Cell Differentiation
hsa-mir-16-2	Cell Differentiation
hsa-mir-302d	Cell Differentiation
hsa-mir-34c	Cell Differentiation
hsa-mir-200c	Cell Differentiation
hsa-mir-185	Cell Differentiation
hsa-mir-302b	Cell Differentiation
hsa-mir-9-1	Cell Differentiation
hsa-mir-150	Cell Differentiation
hsa-mir-9-3	Cell Differentiation
hsa-mir-9-2	Cell Differentiation
hsa-mir-155	Cell Differentiation
hsa-mir-194-2	Cell Differentiation
hsa-mir-210	Cell Differentiation
hsa-mir-424	Cell Differentiation
hsa-mir-96	Cell Differentiation
hsa-mir-18a	Cell Differentiation
hsa-mir-203b	Cell Differentiation
hsa-mir-203a	Cell Differentiation
hsa-mir-125a	Cell Differentiation
hsa-mir-127	Cell Differentiation
hsa-mir-145	Cell Differentiation
hsa-let-7a-2	Cell Differentiation
hsa-let-7a-3	Cell Differentiation
hsa-let-7a-1	Cell Differentiation
hsa-let-7b	Cell Division
hsa-mir-16-2	Cell Division
hsa-mir-106b	Cell Division
hsa-mir-15a	Cell Division
hsa-let-7d	Cell Division
hsa-let-7c	Cell Division
hsa-mir-124-1	Cell Division
hsa-let-7i	Cell Division
hsa-mir-107	Cell Division
hsa-mir-27a	Cell Division
hsa-mir-16-1	Cell Division
hsa-mir-34a	Cell Division
hsa-mir-124-2	Cell Division
hsa-let-7a-2	Cell Division
hsa-let-7a-3	Cell Division
hsa-mir-124-3	Cell Division
hsa-let-7a-1	Cell Division
hsa-mir-132	Cell Growth
hsa-mir-212	Cell Growth
hsa-mir-143	Cell Growth
hsa-mir-200b	Cell Migration
hsa-mir-200a	Cell Migration
hsa-mir-137	Cell Migration
hsa-mir-125a	Cell Migration
hsa-mir-152	Cell Migration
hsa-mir-142	Cell Migration
hsa-mir-34a	Cell Migration
hsa-mir-509-1	Cell Migration
hsa-mir-509-2	Cell Migration
hsa-mir-146a	Cell Migration
hsa-mir-509-3	Cell Migration
hsa-mir-128-1	Cell Motility
hsa-mir-584	Cell Motility
hsa-mir-200a	Cell Motility
hsa-mir-21	Cell Motility
hsa-mir-488	Cell Motility
hsa-mir-10b	Cell Motility
hsa-mir-9-2	Cell Motility
hsa-mir-30b	Cell Motility
hsa-mir-222	Cell Motility
hsa-mir-9-1	Cell Motility
hsa-mir-128-2	Cell Motility
hsa-mir-9-3	Cell Motility
hsa-mir-145	Cell Motility
hsa-mir-205	Cell Motility
hsa-mir-143	Cell Motility
hsa-mir-130b	Cell Motility
hsa-mir-206	Cell Motility
hsa-mir-100	Cell Motility
hsa-mir-151a	Cell Motility
hsa-mir-31	Cell Motility
hsa-mir-151b	Cell Motility
hsa-mir-15a	Cell Proliferation
hsa-mir-15b	Cell Proliferation
hsa-let-7a-1	Cell Proliferation
hsa-mir-21	Cell Proliferation
hsa-mir-22	Cell Proliferation
